,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Fwd Packet Length Max, Fwd Packet Length Mean,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, PSH Flag Count, ACK Flag Count, URG Flag Count, Down/Up Ratio, Average Packet Size, Avg Bwd Segment Size, min_seg_size_forward
193446,46859,432,443,861,53537,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193447,46862,432,443,861,53569,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193448,46860,432,443,861,53560,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193449,46861,432,443,861,53568,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193450,46870,433,80,858,58236,6,45,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,0.0,0,1,1,1,9.0,6.0,20
193451,46918,436,80,858,58223,6,45,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,0.0,0,1,1,1,9.0,6.0,20
193452,46920,436,80,858,58284,6,45,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,0.0,0,1,1,1,9.0,6.0,20
193453,46935,436,443,861,38622,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193454,46938,436,443,861,38630,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193455,46936,436,443,861,38623,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193456,46940,436,443,861,38659,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,32
193457,46937,436,443,861,38627,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193458,46941,436,443,861,38668,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193459,47156,451,443,861,45868,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193460,47515,481,80,858,58318,6,45,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,0.0,0,1,1,1,9.0,6.0,20
193461,47526,481,443,861,49222,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193462,47528,481,80,861,40764,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193463,47529,481,80,861,40830,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193464,47654,488,443,861,48300,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193465,47866,509,443,861,45439,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193466,47938,514,443,861,50319,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193467,47962,515,443,861,38627,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193468,47963,515,443,861,38636,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193469,47964,515,443,861,38637,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193470,48123,532,80,858,58226,6,45,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,0.0,0,1,1,1,9.0,6.0,20
193471,48361,572,443,861,38107,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193472,49136,625,443,861,38212,6,45,31,15.5,6,6,6.0,0.0,0,31,17.0,16.35033129,267.3333333,0,1,0,0,22.66666667,6.0,32
193473,49147,627,80,861,44771,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193474,49146,627,80,861,44770,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193475,49148,627,80,861,44772,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
193476,49165,631,80,858,58214,6,45,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,0.0,0,1,1,1,9.0,6.0,20
193477,49180,636,443,858,58240,6,45,31,14.33333333,6,6,6.0,0.0,6,31,11.0,11.18033989,125.0,0,1,0,0,13.75,6.0,20
193478,49221,644,443,866,56303,6,45,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,0.0,0,1,1,1,9.0,6.0,20
193479,49220,644,443,866,56302,6,45,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,0.0,0,1,1,1,9.0,6.0,20
193480,49429,680,443,861,34370,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,32
193481,49429,680,443,861,34370,6,45,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0,1,0.0,0.0,32
193482,52106,694,42650,244,80,6,45,751,153.8,208,0,71.33333333,118.3948197,0,751,109.2222222,250.0108887,62505.44444,1,0,0,0,122.875,71.33333333,20
193483,52105,694,42648,244,80,6,45,721,147.8,208,0,71.33333333,118.3948197,0,721,105.8888889,240.3998983,57792.11111,1,0,0,0,119.125,71.33333333,20
193484,52102,694,42640,244,80,6,45,671,281.3333333,209,0,139.1666667,105.4958135,0,671,210.4375,263.2119472,69280.52917,1,0,0,0,224.4666667,139.1666667,20
193485,52100,694,42636,244,80,6,45,628,233.25,209,0,125.6,111.9432892,0,628,178.1428571,250.5789779,62789.82418,1,0,0,0,191.8461538,125.6,20
193486,52099,694,42634,244,80,6,45,666,246.75,209,0,126.0,112.3053872,0,666,186.0,265.1507554,70304.92308,1,0,0,0,200.3076923,126.0,20
193487,52096,694,42628,244,80,6,45,795,63.36842105,1493,0,1277.945946,472.0613747,0,1493,653.8421053,707.920844,501151.9214,1,0,0,0,662.56,1277.945946,20
193488,52103,694,42642,244,80,6,45,756,154.8,209,0,71.66666667,118.9719855,0,756,109.8888889,251.6646799,63335.11111,1,0,0,0,123.625,71.66666667,20
193489,52101,694,42638,244,80,6,45,644,281.6666667,208,0,139.5,105.7501773,0,644,210.75,263.2536166,69302.46667,1,0,0,0,224.8,139.5,20
193490,52104,694,42644,244,80,6,45,777,220.2857143,209,0,105.75,118.6714653,0,777,163.75,288.9111612,83469.65909,1,0,0,0,178.6363636,105.75,20
193491,52097,694,42630,244,80,6,45,644,240.0,209,0,126.2,112.4864436,0,644,182.2142857,257.8756941,66499.87363,1,0,0,0,196.2307692,126.2,20
193492,52098,694,42632,244,80,6,45,649,283.4444444,209,0,139.6666667,105.8804357,0,649,211.8125,264.9322476,70189.09583,1,0,0,0,225.9333333,139.6666667,20
193493,52107,694,42652,244,80,6,45,6,4.5,0,0,0.0,0.0,0,6,2.571428571,3.207134903,10.28571429,1,0,0,0,3.0,0.0,20
193494,52185,694,49682,245,80,6,45,607,245.8,246,0,141.0,130.0384559,0,607,191.3888889,249.1477565,62074.60458,1,0,0,0,202.6470588,141.0,20
193495,52184,694,49680,245,80,6,45,607,278.6363636,246,0,176.0,118.1947545,0,607,226.1578947,255.0900197,65070.91813,1,0,0,0,238.7222222,176.0,20
193496,52182,694,49676,245,80,6,45,607,230.625,246,0,148.4,132.7490113,0,607,184.7857143,249.3148083,62157.87363,1,0,0,0,199.0,148.4,20
193497,52183,694,49678,245,80,6,45,607,272.4444444,246,0,164.5,125.1123495,0,607,214.9375,255.0028676,65026.4625,1,0,0,0,229.2666667,164.5,20
193498,52186,694,49684,245,80,6,45,607,272.4444444,246,0,164.5,125.1123495,0,607,214.9375,255.0028676,65026.4625,1,0,0,0,229.2666667,164.5,20
