,Label
193446,0
193447,0
193448,0
193449,0
193450,0
193451,0
193452,0
193453,0
193454,0
193455,0
193456,0
193457,0
193458,0
193459,0
193460,0
193461,0
193462,0
193463,0
193464,0
193465,0
193466,0
193467,0
193468,0
193469,0
193470,0
193471,0
193472,0
193473,0
193474,0
193475,0
193476,0
193477,0
193478,0
193479,0
193480,0
193481,0
193482,0
193483,0
193484,0
193485,0
193486,0
193487,0
193488,0
193489,0
193490,0
193491,0
193492,0
193493,0
193494,0
193495,0
193496,0
193497,0
193498,0
193499,0
193500,0
193501,0
193502,0
193503,0
193504,0
193505,0
193506,0
193507,0
193508,0
193509,0
193510,0
193511,0
193512,0
193513,0
193514,0
193515,0
193516,0
193517,0
193518,0
193519,0
193520,0
193521,0
193522,0
193523,0
193524,0
193525,0
193526,0
193527,0
193528,0
193529,0
193530,0
193531,0
193532,0
193533,0
193534,0
193535,0
193536,0
193537,0
193538,0
193539,0
193540,0
193541,0
193542,0
193543,0
193544,0
193545,0
193546,0
193547,0
193548,0
193549,0
193550,0
193551,0
193552,0
193553,0
193554,0
193555,0
193556,0
193557,0
193558,0
193559,0
193560,0
193561,0
193562,0
193563,0
193564,0
193565,0
193566,0
193567,0
193568,0
193569,0
193570,0
193571,0
193572,0
193573,0
193574,0
193575,0
193576,0
193577,0
193578,0
193579,0
193580,0
193581,0
193582,0
193583,0
193584,0
193585,0
193586,0
193587,0
193588,0
193589,0
193590,0
193591,0
193592,0
193593,0
193594,0
193595,0
193596,0
193597,0
193598,0
193599,0
193600,0
193601,0
193602,0
193603,0
193604,0
193605,0
193606,0
193607,0
193608,0
193609,0
193610,0
193611,0
193612,0
193613,0
193614,0
193615,0
193616,0
193617,0
193618,0
193619,0
193620,0
193621,0
193622,0
193623,0
193624,0
193625,0
193626,0
193627,0
193628,0
193629,0
193630,0
193631,0
193632,0
193633,0
193634,0
193635,0
193636,0
193637,0
193638,0
193639,0
193640,0
193641,0
193642,0
193643,0
193644,0
